Tanggal,DXY_Index,Harga_Emas,Kurs_USDIDR,IHSG_Index,BI_Rate
2025-08-27,98.2300033569336,3404.60009765625,16299.2001953125,7936.17578125,5.75
2025-08-28,97.80999755859375,3431.800048828125,16314.0,7952.087890625,5.75
2025-08-29,97.7699966430664,3473.699951171875,16344.2998046875,7830.4931640625,5.75
2025-09-02,98.4000015258789,3549.39990234375,16405.19921875,7801.5849609375,5.75
2025-09-03,98.13999938964844,3593.199951171875,16443.900390625,7885.86279296875,5.75
2025-09-04,98.3499984741211,3565.800048828125,16463.0,7867.34814453125,5.75
2025-09-08,97.44999694824219,3638.10009765625,16392.0,7766.84912109375,5.75
2025-09-09,97.79000091552734,3643.300048828125,16446.099609375,7628.60498046875,5.75
2025-09-10,97.77999877929688,3643.60009765625,16449.900390625,7699.0068359375,5.75
2025-09-11,97.54000091552734,3636.89990234375,16439.0,7747.90478515625,5.75
2025-09-12,97.55000305175781,3649.39990234375,16413.599609375,7854.06005859375,5.75
2025-09-15,97.30000305175781,3682.199951171875,16401.0,7937.1181640625,5.75
2025-09-16,96.62999725341797,3688.89990234375,16364.599609375,7957.69580078125,5.75
2025-09-17,96.87000274658203,3681.800048828125,16398.099609375,8025.17919921875,5.75
2025-09-18,97.3499984741211,3643.699951171875,16418.599609375,8008.43310546875,5.75
2025-09-19,97.63999938964844,3671.5,16569.099609375,8051.1181640625,5.75
2025-09-22,97.33000183105469,3740.699951171875,16637.0,8040.0390625,5.75
2025-09-23,97.26000213623047,3780.60009765625,16582.0,8125.201171875,5.75
2025-09-24,97.87000274658203,3732.10009765625,16633.0,8126.55810546875,5.75
2025-09-25,98.55000305175781,3736.89990234375,16695.099609375,8040.6650390625,5.75
2025-09-26,98.1500015258789,3775.300048828125,16759.099609375,8099.3330078125,5.75
2025-09-29,97.91000366210938,3820.89990234375,16723.0,8123.2451171875,5.75
2025-09-30,97.7699966430664,3840.800048828125,16628.0,8061.06201171875,5.75
2025-10-01,97.70999908447266,3867.5,16683.0,8043.82177734375,5.75
2025-10-02,97.8499984741211,3839.699951171875,16644.099609375,8071.0810546875,5.75
2025-10-03,97.72000122070312,3880.800048828125,16601.5,8118.30078125,5.75
2025-10-06,98.11000061035156,3948.5,16558.0,8139.89404296875,5.75
2025-10-07,98.58000183105469,3976.60009765625,16596.5,8169.28076171875,5.75
2025-10-08,98.8499984741211,4043.300048828125,16587.0,8166.02880859375,5.75
2025-10-09,99.54000091552734,3946.300048828125,16556.0,8250.9384765625,5.75
2025-10-10,98.9800033569336,3975.89990234375,16577.69921875,8257.859375,5.75
2025-10-13,99.2699966430664,4108.60009765625,16598.0,8227.2021484375,5.75
2025-10-14,99.05000305175781,4138.7001953125,16548.0,8066.52197265625,5.75
2025-10-15,98.79000091552734,4176.89990234375,16585.900390625,8051.1748046875,5.75
2025-10-16,98.38999938964844,4280.2001953125,16575.0,8124.7568359375,5.75
2025-10-17,98.43000030517578,4189.89990234375,16561.900390625,7915.65576171875,5.75
2025-10-20,98.58999633789062,4336.39990234375,16566.0,8088.97802734375,5.75
2025-10-21,98.93000030517578,4087.699951171875,16542.0,8238.083984375,5.75
2025-10-22,98.9000015258789,4044.39990234375,16598.900390625,8152.55322265625,5.75
2025-10-23,98.94000244140625,4125.5,16596.599609375,8274.3515625,5.75
2025-10-24,98.94999694824219,4118.39990234375,16593.80078125,8271.7216796875,5.75
2025-10-27,98.77999877929688,4001.89990234375,16597.80078125,8117.15087890625,5.75
2025-10-28,98.69000244140625,3966.199951171875,16158.2001953125,8092.62890625,5.75
2025-10-29,99.22000122070312,3983.699951171875,16561.779296875,8166.22412109375,5.75
2025-10-30,99.52999877929688,4001.300048828125,16562.0,8184.06396484375,5.75
2025-10-31,99.80000305175781,3982.199951171875,16150.0,8163.875,5.75
2025-11-03,99.87000274658203,4000.300048828125,16630.0,8275.083984375,5.75
2025-11-04,100.22000122070312,3947.699951171875,16640.900390625,8241.9111328125,5.75
2025-11-05,100.19999694824219,3980.300048828125,16707.0,8318.5263671875,5.75
2025-11-06,99.7300033569336,3979.89990234375,16669.0,8337.0576171875,5.75
2025-11-07,99.5999984741211,3999.39990234375,16694.099609375,8394.58984375,5.75
2025-11-10,99.62000274658203,4111.7998046875,16653.0,8391.240234375,5.75
2025-11-11,99.45999908447266,4106.7998046875,16690.0,8366.5146484375,5.75
2025-11-12,99.4800033569336,4204.39990234375,16694.900390625,8388.56640625,5.75
2025-11-13,99.18000030517578,4186.89990234375,16729.0,8371.9990234375,5.75
2025-11-14,99.2699966430664,4087.60009765625,16719.0,8370.435546875,5.75
2025-11-17,99.58999633789062,4068.300048828125,16679.5,8416.8818359375,5.75
2025-11-18,99.55000305175781,4061.300048828125,16738.900390625,8361.92578125,5.75
2025-11-19,100.2300033569336,4077.699951171875,16727.69921875,8406.5771484375,5.75
2025-11-20,100.16000366210938,4056.5,16686.69921875,8419.9169921875,5.75
2025-11-21,100.18000030517578,4076.699951171875,16731.0,8414.3515625,5.75
2025-11-24,100.13999938964844,4091.89990234375,16639.0,8570.25390625,5.75
2025-11-25,99.66000366210938,4139.2001953125,16645.0,8521.884765625,5.75
2025-11-26,99.5999984741211,4165.2001953125,16633.5,8602.1298828125,5.75
2025-11-28,99.45999908447266,4218.2998046875,16603.900390625,8508.7060546875,5.75
2025-12-01,99.41000366210938,4239.2998046875,16635.0,8548.7880859375,5.75
2025-12-02,99.36000061035156,4186.60009765625,16609.0,8617.04296875,5.75
2025-12-03,98.8499984741211,4199.2998046875,16609.900390625,8611.787109375,5.75
2025-12-04,98.98999786376953,4211.7998046875,16594.0,8640.1962890625,5.75
2025-12-05,98.98999786376953,4212.89990234375,16654.400390625,8632.7607421875,5.75
2025-12-08,99.08999633789062,4187.2001953125,16683.0,8710.6953125,5.75
2025-12-09,99.22000122070312,4206.7001953125,16686.0,8657.1787109375,5.75
